"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
2.603341333E0,-5.020773116E0,9.331045795E0,4.231548107E-1,1.060451028E1
2.613311333E0,-5.230633779E0,8.932522380E0,4.141641684E-1,1.035958579E1
2.623281333E0,-5.095278338E0,8.452739625E0,2.204166778E-1,9.872145259E0
2.633251333E0,-3.516217870E0,7.377163602E0,-1.511856079E-1,8.173688763E0
2.643221333E0,-4.743682337E-1,5.377762588E0,-9.254130936E-1,5.477384875E0
2.653192333E0,3.950006427E0,3.046054954E0,-2.019282131E0,5.381310424E0
2.663162333E0,9.600741600E0,-1.889089197E-1,-3.656629983E0,1.027525516E1
2.673132333E0,1.625617168E1,-5.488038152E0,-4.963855734E0,1.786117421E1
2.683102333E0,2.246744433E1,-1.148592427E1,-4.541131278E0,2.563853320E1
2.693072333E0,2.538225327E1,-1.370596704E1,-1.730535074E0,2.889821907E1
2.703042333E0,2.530340708E1,-1.256437303E1,3.370835039E-1,2.825313265E1
2.713012333E0,2.339350296E1,-1.092031141E1,7.067421386E-1,2.582651092E1
2.722982333E0,2.000660387E1,-9.111365903E0,5.752175009E-1,2.199118146E1
2.732953333E0,1.689565008E1,-7.894210078E0,1.113879379E0,1.868213777E1
2.742923333E0,1.535347268E1,-8.165655370E0,1.595568327E0,1.746290037E1
2.752893333E0,1.392305194E1,-9.232999683E0,1.132685194E0,1.674463001E1
2.762863333E0,1.183980712E1,-9.344476265E0,-1.998706949E-1,1.508443627E1
2.772833333E0,9.125085225E0,-8.133289862E0,-1.696787138E0,1.234085374E1
2.782803333E0,6.035211237E0,-6.748429459E0,-3.578177891E0,9.734907902E0
2.792773333E0,3.086112474E0,-5.390092612E0,-5.421677517E0,8.244499722E0
2.802744333E0,4.621510613E-1,-3.911207812E0,-6.172056549E0,7.321571702E0
2.812714333E0,-1.710708774E0,-2.647851674E0,-5.894931271E0,6.684897732E0
2.822684333E0,-3.582270357E0,-1.485914614E0,-4.768351740E0,6.146363272E0
2.832654333E0,-5.679616910E0,-7.018091351E-1,-3.562395086E0,6.741012020E0
2.842624333E0,-7.757289337E0,-4.735835373E-1,-2.899562906E0,8.295015628E0
2.852594333E0,-9.729738779E0,-5.768950671E-2,-2.464441184E0,1.003716171E1
2.862564333E0,-1.161827483E1,6.260549480E-1,-1.952393492E0,1.179780044E1
2.872534333E0,-1.289795201E1,1.425391839E0,-1.764587358E0,1.309590304E1
2.882505333E0,-1.318591101E1,2.139796169E0,-2.032502101E0,1.351214422E1
2.892475333E0,-1.244323977E1,2.748926059E0,-2.401725118E0,1.296761713E1
2.902444958E0,-1.135840118E1,3.359269246E0,-2.819307532E0,1.217565038E1
2.912414958E0,-1.044400775E1,4.036623864E0,-2.786551430E0,1.153847905E1
2.922384958E0,-9.868004379E0,4.794442308E0,-2.380572231E0,1.122636680E1
2.932354958E0,-9.446258163E0,5.592484041E0,-1.470939018E0,1.107570913E1
2.942324958E0,-9.096565431E0,6.380113345E0,-2.829198682E-1,1.111455769E1
2.952295958E0,-8.638151910E0,7.043144331E0,8.725285363E-1,1.117966263E1
2.962265958E0,-7.960356120E0,7.624772719E0,1.649711205E0,1.114567071E1
2.972235958E0,-7.489206778E0,8.014606002E0,1.847235997E0,1.112359692E1
2.982205958E0,-7.352029930E0,7.888938813E0,1.424308058E0,1.087733208E1
2.992175958E0,-7.360016642E0,7.422380705E0,6.630812716E-1,1.047383679E1
3.002145958E0,-7.526053593E0,7.088250922E0,1.311015916E-1,1.033934096E1
3.012115958E0,-7.713352774E0,6.900505013E0,-6.244826317E-3,1.034953233E1
3.022086958E0,-7.628849983E0,6.678568096E0,9.552011490E-3,1.013916738E1
3.032056958E0,-7.294465261E0,6.416188327E0,2.521202445E-1,9.718037904E0
3.042026958E0,-6.696798545E0,6.179052157E0,5.787749469E-1,9.130321832E0
3.051996958E0,-5.347085756E0,5.775881960E0,5.779387951E-1,7.892157611E0
3.061966958E0,-3.226180771E0,4.845376234E0,4.063288629E-1,5.835324872E0
3.071936958E0,-2.637567884E-1,3.269077114E0,-2.559373069E-1,3.289671219E0
