"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
2.483145542E0,2.975028825E0,-5.911731491E0,7.309545815E-2,6.618512573E0
2.493117542E0,2.461082543E0,-6.185191734E0,3.855016655E-1,6.667993372E0
2.503088542E0,1.941669699E0,-6.382669748E0,7.607502383E-1,6.714707384E0
2.513059542E0,1.480082894E0,-6.670120624E0,9.544763866E-1,6.898708552E0
2.523030542E0,9.405059266E-1,-6.707620572E0,1.206277081E0,6.879813190E0
2.533001542E0,2.508894056E-1,-6.457847400E0,1.537780879E0,6.643155016E0
2.542972542E0,-4.850084120E-1,-6.278674094E0,1.805492139E0,6.551090246E0
2.552943542E0,-9.783181161E-1,-6.283129088E0,1.973286763E0,6.657978531E0
2.562914542E0,-1.509841129E0,-6.258366714E0,2.053497114E0,6.757486556E0
2.572885542E0,-1.957341406E0,-6.290863785E0,1.986567544E0,6.881322776E0
2.582856542E0,-2.201362088E0,-6.206513021E0,1.873369835E0,6.846627890E0
2.592827542E0,-2.149197907E0,-6.070571104E0,1.613461976E0,6.638836097E0
2.602798542E0,-2.071806500E0,-5.879039124E0,1.299120340E0,6.367353991E0
2.612769542E0,-2.231969923E0,-5.767653174E0,1.072985707E0,6.276847234E0
2.622740542E0,-2.471602269E0,-5.621941144E0,8.500711352E-1,6.199811363E0
2.632711542E0,-2.650304874E0,-5.491435384E0,7.498662311E-1,6.143474413E0
2.642682542E0,-2.792034949E0,-5.546351849E0,7.374599013E-1,6.253105236E0
2.652653542E0,-3.047365900E0,-5.710194340E0,7.383065781E-1,6.514434352E0
2.662624542E0,-3.412786472E0,-5.859294831E0,6.815344995E-1,6.814905479E0
2.672595542E0,-3.849537229E0,-5.962682959E0,5.763819739E-1,7.120726166E0
2.682566542E0,-4.318177530E0,-6.001067006E0,5.439673492E-1,7.413188442E0
2.692537542E0,-4.677182538E0,-6.023642521E0,5.131753269E-1,7.643536788E0
2.702509542E0,-5.162598501E0,-6.020745226E0,5.816386208E-1,7.952364418E0
2.712480542E0,-5.581245693E0,-5.917338386E0,7.008636403E-1,8.164337506E0
2.722451542E0,-5.830070447E0,-5.887362635E0,7.963194358E-1,8.323754252E0
2.732422542E0,-6.180894030E0,-6.012840375E0,8.844682583E-1,8.668332278E0
2.742393542E0,-6.711944588E0,-5.977254220E0,1.045904474E0,9.048297317E0
2.752364542E0,-7.014349717E0,-5.725784186E0,1.196816578E0,9.133349683E0
2.762335542E0,-6.873468073E0,-5.499830232E0,1.277630800E0,8.895225483E0
2.772306542E0,-6.684816431E0,-5.410517521E0,1.156366417E0,8.677422074E0
2.782277542E0,-6.645885669E0,-5.584748760E0,1.013172930E0,8.739778854E0
2.792248542E0,-6.562685053E0,-5.811305562E0,7.593571392E-1,8.798677782E0
2.802219542E0,-6.593004620E0,-6.060375314E0,2.659610425E-1,8.959162581E0
2.812190542E0,-6.435601083E0,-6.140659339E0,-5.966614334E-1,8.915192835E0
2.822161542E0,-5.996395081E0,-5.886981981E0,-1.566897382E0,8.548010191E0
2.832132542E0,-5.666893954E0,-5.638237919E0,-2.193839060E0,8.289532178E0
2.842103542E0,-5.356119704E0,-5.639778661E0,-2.536541446E0,8.181024638E0
2.852074542E0,-5.196274370E0,-5.796461236E0,-2.648206600E0,8.222726335E0
2.862045542E0,-4.722064596E0,-6.011467448E0,-2.299210856E0,7.982606435E0
2.872016542E0,-3.820720396E0,-6.109990693E0,-1.836984658E0,7.436693032E0
2.881987542E0,-2.841593610E0,-6.158874001E0,-1.324722666E0,6.910953143E0
2.891958542E0,-1.918780773E0,-6.175953133E0,-1.134879362E0,6.565978063E0
